domain,cluster,strand,section_type,question,transversal_tags
Data,Data-Driven Decision Making,Analysing data,skills,"How would you rate your competence in communicating analytical findings, including uncertainty and limitations?",Collaborative Working
Data,Responsible Data Sharing,Collaborating with data,knowledge,"How would you rate your understanding of data sharing across teams and organisations, including what enables it and what governs it?",Systems Thinking; Ethical Practice
Data,Responsible Data Sharing,Collaborating with data,skills,"How would you rate your competence in sharing data with other teams and organisations safely, lawfully and effectively?",Ethical Practice; Collaborative Working
Data,Responsible Data Sharing,Collaborating with data,skills,"How would you rate your competence in finding, accessing and reusing data that others have shared?",Collaborative Working
Data,Responsible Data Sharing,Collaborating with data,behaviours,How would you rate your competence in working with others to make data sharing across your organisation easier and more consistent?,Systems Thinking; Collaborative Working
Innovation,Conditions for Innovation,Psychological safety and adaptability,knowledge,"How would you rate your understanding of how people respond to uncertainty and change at work, and why that affects whether innovation happens?",
Innovation,Conditions for Innovation,Psychological safety and adaptability,skills,"How would you rate your competence in identifying what it takes to get a new idea off the ground - who needs convincing, what concerns to address, and how to frame the proposal?",Systems Thinking
Innovation,Conditions for Innovation,Psychological safety and adaptability,behaviours,"How would you rate your effectiveness in making it feel safe for colleagues to share ideas, try new things and admit when things go wrong?",Digital Wellbeing
Innovation,Conditions for Innovation,Psychological safety and adaptability,behaviours,How would you rate your effectiveness in responding when an experiment or new idea doesn't work out - in your own work and when it happens to colleagues?,Continuous Learning
Innovation,Conditions for Innovation,Psychological safety and adaptability,behaviours,How would you rate your competence in coping with change at work and supporting colleagues who are finding it hard?,Digital Wellbeing
Innovation,Understanding the Problem,Identifying innovation opportunities,knowledge,How would you rate your understanding of where innovation is most likely to make a real difference - and what makes something a genuine opportunity rather than change for its own sake?,
Innovation,Understanding the Problem,Identifying innovation opportunities,skills,How would you rate your competence in using evidence to identify where innovation or improvement is most needed - and assess whether an opportunity is realistic and worth pursuing?,Systems Thinking
Innovation,Understanding the Problem,Identifying innovation opportunities,behaviours,How would you rate how consistently you think about what users actually experience when deciding where innovation or improvement is most needed?,Systems Thinking
Innovation,Understanding the Problem,Identifying innovation opportunities,behaviours,How would you rate your competence in constructively challenging established ways of working when you think something could be done better?,Continuous Learning
Innovation,Understanding the Problem,Identifying innovation opportunities,behaviours,"How would you rate your competence in seeking out connections between your work and what's happening elsewhere - in other teams, disciplines or sectors - to inform where and how you innovate?",Systems Thinking
Innovation,Doing the Work,Using the innovation lifecycle,knowledge,"How would you rate your understanding of the stages of the innovation lifecycle, from identifying a problem through to testing, refining and deciding whether to stop or scale a solution?",
Innovation,Doing the Work,Testing and prototyping,knowledge,"How would you rate your understanding of what makes a test or prototype genuinely useful, such as a minimum viable product designed to test critical assumptions, before committing to a solution fully?",
Innovation,Doing the Work,Testing and prototyping,skills,How would you rate your competence in trying out new ideas on a small scale first - learning from what happens before committing to them fully?,Continuous Learning
Innovation,Doing the Work,Testing and prototyping,behaviours,How would you rate how consistently you reflect on what worked and what didn't when you try something new or test an idea - and share what you found with others who might benefit?,Collaborative Working; Continuous Learning
Innovation,Doing the Work,Storytelling and advocacy,knowledge,How would you rate your understanding of how to communicate an idea for change in a way that genuinely persuades different audiences?,
Innovation,Doing the Work,Storytelling and advocacy,skills,"How would you rate your competence in tailoring your communication of ideas for change to different audiences, framing them in ways that connect to outcomes people genuinely care about?",Collaborative Working
Innovation,Making Change Stick,Continuous improvement,knowledge,"How would you rate your understanding of structured approaches to continuous improvement - the principles, methods and tools that help teams regularly review and improve how they work?",
Innovation,Making Change Stick,Continuous improvement,skills,How would you rate your competence in implementing improvements deliberately and measuring whether they have had the effect you intended - rather than making changes and hoping for the best?,Systems Thinking; Continuous Learning
Innovation,Making Change Stick,Continuous improvement,behaviours,How would you rate how consistently you treat improvement as an ongoing habit - regularly reviewing how work is going and keeping that focus alive in your team even when other pressures mount?,Continuous Learning
Innovation,Making Change Stick,Embedding innovation at scale,knowledge,How would you rate your understanding of what makes it hard to spread a successful idea or new way of working more widely - and what helps overcome those challenges?,
Innovation,Making Change Stick,Embedding innovation at scale,behaviours,"How would you rate your competence in actively supporting the adoption of new approaches - at whatever level your role allows, from helping a colleague understand a change to planning how it reaches different teams?",Collaborative Working
Innovation,Making Change Stick,Embedding innovation at scale,behaviours,How would you rate your competence in supporting and championing change to help maintain momentum - even when the initial excitement fades?,Continuous Learning
Innovation,Making Change Stick,Embedding innovation at scale,behaviours,"How would you rate your competence in actively connecting with colleagues in other teams, departments or organisations - sharing what has worked and helping proven approaches reach people who could benefit from them?",Collaborative Working
AI,Foundational AI Skills,AI literacy,knowledge,"How would you rate your understanding of what AI is, how it works and what it can and cannot do?",
AI,Foundational AI Skills,AI literacy,skills,How would you rate your competence in using AI tools in your everyday work?,
AI,Foundational AI Skills,AI literacy,skills,"How would you rate your competence in specifying and preparing inputs so AI systems produce reliable, useful outputs?",Continuous Learning
AI,Foundational AI Skills,AI literacy,behaviours,How would you rate your competence in checking whether an AI output is reliable before acting on it or sharing it with others?,Ethical Practice
AI,Foundational AI Skills,Assessing AI opportunities,knowledge,How would you rate your understanding of where AI and automation can and cannot add value - including what kinds of tasks AI tends to help with and what makes some tasks unsuitable?,
AI,Foundational AI Skills,Assessing AI opportunities,skills,"How would you rate your competence in identifying tasks, inefficiencies or pain points that AI could help address?",Continuous Learning; Systems Thinking
AI,Foundational AI Skills,Assessing AI opportunities,skills,"How would you rate your competence in weighing up whether AI is the right solution for a problem, taking into account its limitations and risks alongside its potential benefits?",Systems Thinking; Ethical Practice
AI,Foundational AI Skills,Using AI safely,knowledge,How would you rate your understanding of your organisation's rules on which AI tools are approved for use and what data can safely be shared with them?,
AI,Foundational AI Skills,Using AI safely,skills,How would you rate your competence in spotting when a specific AI prompt or task carries a safety risk - whether from the data it contains or from the nature of the task itself - and adjusting or stopping before proceeding?,Ethical Practice; Systems Thinking
AI,Foundational AI Skills,Using AI safely,behaviours,How would you rate your ability to escalate concerns about AI use to the right person when something feels wrong?,Ethical Practice; Collaborative Working
AI,AI Governance and Ethics,Interpreting AI outputs,knowledge,How would you rate your understanding of how AI generates outputs and why they may be unreliable or biased?,
AI,AI Governance and Ethics,Interpreting AI outputs,skills,How would you rate your competence in checking and interpreting AI outputs before acting on them?,Systems Thinking
AI,AI Governance and Ethics,Interpreting AI outputs,behaviours,How would you rate your competence in making clear to others when a decision or recommendation has been informed by AI - including what that means for how certain you are?,Ethical Practice; Collaborative Working
AI,AI Governance and Ethics,Interpreting AI outputs,behaviours,How would you rate your competence in deciding when to trust an AI output and when to question or override it?,Ethical Practice
AI,AI Governance and Ethics,Applying AI governance,knowledge,How would you rate your understanding of the legal and regulatory frameworks that govern AI use?,Ethical Practice
AI,AI Governance and Ethics,Applying AI governance,skills,How would you rate your competence in applying governance and compliance requirements when using or commissioning AI?,Ethical Practice
AI,AI Governance and Ethics,Applying AI governance,skills,How would you rate your competence in identifying and responding to governance and compliance risks in AI use?,Ethical Practice; Systems Thinking
AI,AI Governance and Ethics,Using AI responsibly and ethically,knowledge,How would you rate your understanding of the ethical principles that should guide responsible AI use in public services?,Ethical Practice
AI,AI Governance and Ethics,Using AI responsibly and ethically,skills,How would you rate your competence in applying fairness and public benefit considerations when using or recommending AI?,Ethical Practice; Systems Thinking
AI,AI Governance and Ethics,Using AI responsibly and ethically,skills,How would you rate your competence in making AI use transparent and explainable to those affected by it?,Ethical Practice; Collaborative Working
AI,AI Governance and Ethics,Using AI responsibly and ethically,behaviours,How would you rate your ability to consider the wider and longer-term effects of using AI - including on people who won't be in the room when decisions are made?,Ethical Practice; Systems Thinking
AI,AI Governance and Ethics,Using AI responsibly and ethically,behaviours,How would you rate your ability to factor in the environmental cost of AI when deciding whether and how to use it?,Systems Thinking; Ethical Practice; Continuous Learning
