domain,cluster,strand,section_type,question,transversal_tags
Digital,Foundational Digital Skills,Using digital tools effectively,skills,How would you rate your competence in using digital tools and software to complete everyday tasks?,Continuous Learning
Digital,Foundational Digital Skills,Using digital tools effectively,skills,"How would you rate your competence in managing and organising information and files so they are easy to find, appropriately shared and kept secure?",Collaborative Working
Digital,Foundational Digital Skills,Choosing the right digital tools,skills,How would you rate your competence in deciding which tool or method best fits the task at hand?,
Digital,Foundational Digital Skills,Creating accessible digital content,knowledge,"How would you rate your understanding of accessibility standards and legal requirements for digital content, and what they mean in practice?",Ethical Practice
Digital,Foundational Digital Skills,Creating accessible digital content,skills,How would you rate your competence in creating and checking digital content so it meets accessibility standards and works for people with different needs?,Ethical Practice
Digital,Foundational Digital Skills,Creating accessible digital content,behaviours,"How would you rate your competence in supporting good accessibility practice beyond your own work - whether by modelling it, helping colleagues or flagging where standards aren't being met?",Ethical Practice; Collaborative Working
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in checking that the information you work with and share is accurate, current and from a reliable source?",
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in organising, classifying and managing information and files so they are easy to find, appropriately protected and correctly disposed of when no longer needed?",Collaborative Working
Digital,Digital Transformation,Focusing on users,knowledge,How would you rate your understanding of user-centred principles and why understanding user needs matters for the work you do?,
Digital,Digital Transformation,Focusing on users,skills,How would you rate your competence in finding out what users need - and using that insight to improve your work or processes?,Collaborative Working; Continuous Learning
Digital,Digital Transformation,Focusing on users,behaviours,How would you rate your ability to keep user needs in view when other priorities or pressures are pulling in a different direction?,Ethical Practice; Systems Thinking
Digital,Digital Transformation,Making digital services work for everyone,knowledge,"How would you rate your understanding of what inclusive design means for digital work and services, and what government guidance says about designing for everyone?",Ethical Practice
Digital,Digital Transformation,Making digital services work for everyone,skills,"How would you rate your competence in finding out about the different needs, backgrounds and circumstances of the people your work affects?",Ethical Practice; Systems Thinking
Digital,Digital Transformation,Making digital services work for everyone,skills,How would you rate your competence in using what you learn about users to shape or change your work?,Ethical Practice; Continuous Learning
Digital,Digital Transformation,Making digital services work for everyone,behaviours,How would you rate your ability to ensure the needs of people who are harder to reach or more likely to be excluded are considered in your work from the start?,Ethical Practice; Systems Thinking; Digital Wellbeing
Digital,Digital Leadership,Leading in a digital age,knowledge,"How would you rate your understanding of how digital, data and AI can transform the way teams work and deliver outcomes?",
Digital,Digital Leadership,Leading in a digital age,skills,"How would you rate your competence in encouraging and supporting colleagues to adopt digital, data and AI approaches in your work?",Collaborative Working; Continuous Learning
Digital,Digital Leadership,Leading in a digital age,behaviours,How would you rate your competence in helping colleagues feel confident about digital change - including when they are uncertain or sceptical?,Digital Wellbeing; Systems Thinking
Data,Foundational Data Skills,Data literacy,knowledge,How would you rate your understanding of data and its role in decision-making?,
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using data in your day-to-day work?,
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in using the data tools and systems relevant to your role?,
Data,Foundational Data Skills,Data literacy,skills,How would you rate your competence in drawing on data rather than instinct or assumption when you need to make a decision?,Systems Thinking
Data,Foundational Data Skills,Data literacy,behaviours,How would you rate your competence in making sure the data you work with and share is handled safely and responsibly?,Ethical Practice
Data,Foundational Data Skills,Data literacy,behaviours,How would you rate your competence in evaluating and improving the data processes you work with?,Continuous Learning; Systems Thinking
Data,Foundational Data Skills,Data literacy,behaviours,"How would you rate your competence in questioning the data you use - for example, where it came from, how it was collected, or whether it tells the full story?",Systems Thinking
Data,Foundational Data Skills,Interpreting visual data,knowledge,"How would you rate your understanding of visual data - including how charts and tables work, and how visual formats can help or mislead?",
Data,Foundational Data Skills,Interpreting visual data,skills,How would you rate your competence in reading and extracting meaning from charts and tables?,
Data,Foundational Data Skills,Interpreting visual data,skills,How would you rate your competence in creating clear and effective visualisations?,Collaborative Working
Data,Foundational Data Skills,Interpreting visual data,behaviours,"How would you rate your competence in considering whether the visual data you create or share works for people with different needs, including those using assistive technologies?",Ethical Practice
Data,Foundational Data Skills,Managing data lifecycles,knowledge,How would you rate your understanding of how data moves through its lifecycle from collection to disposal - including what happens at each stage and why responsible handling throughout matters?,Systems Thinking
Data,Foundational Data Skills,Managing data lifecycles,skills,How would you rate your competence in collecting and recording data correctly?,
Data,Foundational Data Skills,Managing data lifecycles,skills,How would you rate your competence in storing and sharing data securely?,Ethical Practice
Data,Foundational Data Skills,Managing data lifecycles,skills,How would you rate your competence in disposing of data correctly?,Ethical Practice
Data,Foundational Data Skills,Managing data lifecycles,behaviours,How would you rate your competence in making sure data is handled consistently and responsibly when it crosses team or organisational boundaries?,Systems Thinking; Collaborative Working
Data,Data Quality and Integrity,Ensuring data quality,knowledge,How would you rate your understanding of data quality and why it matters for decisions and outcomes?,
Data,Data Quality and Integrity,Ensuring data quality,skills,"How would you rate your competence in identifying, correcting and cleaning data to ensure it is accurate and complete?",
Data,Data Quality and Integrity,Ensuring data quality,skills,How would you rate your competence in assessing whether data are representative and unbiased?,Ethical Practice
Data,Data Quality and Integrity,Handling data ethically and lawfully,knowledge,"How would you rate your understanding of the legal and ethical framework governing how data should be collected, used and shared?",Systems Thinking; Ethical Practice
Data,Data Quality and Integrity,Handling data ethically and lawfully,skills,"How would you rate your competence in checking that data you access, use or share is handled lawfully and ethically?",Ethical Practice
Data,Data Quality and Integrity,Handling data ethically and lawfully,skills,How would you rate your competence in identifying and responding to legal and ethical risks or violations in how data is used?,Ethical Practice
Data,Data Quality and Integrity,Applying data standards,knowledge,How would you rate your understanding of data standards and why consistency and interoperability matter across government?,Systems Thinking
Data,Data Quality and Integrity,Applying data standards,skills,How would you rate your competence in applying agreed data standards in your own work and flagging when data doesn't meet them?,Collaborative Working
Data,Data-Driven Decision Making,Analysing data,knowledge,How would you rate your understanding of data analysis and how it supports decision-making - including what kinds of questions it can answer and what its limitations are?,
Data,Data-Driven Decision Making,Analysing data,skills,How would you rate your competence in using analytical tools and software to work with data?,
Data,Data-Driven Decision Making,Analysing data,skills,How would you rate your competence in working out what question you need to answer and finding the right data to answer it?,Systems Thinking
