domain,description
Digital,"Working effectively in a digital workplace - digital tools, accessible digital content, user-centred digital services, leading in a digital age and handling information well. This domain is here because most civil service work is delivered through digital channels and systems. Nearly everyone needs foundational digital confidence, be it using email applications or collaboration tools. Service design, transformation and leadership apply when you shape how teams or services work."
Data,"Working responsibly with data - from everyday literacy and quality through analysis, evidence-based decisions and sharing. This domain is here because almost every role uses data somehow, even if you are not a data specialist foundational skills apply widely. Deeper quality, analysis and sharing expectations rise when data is central to your work or at higher grades."
Innovation,"How people and teams improve how work is done - creating conditions for ideas, understanding problems, testing approaches and making change stick. This domain is here because adaptation and improvement are part of public service, not a separate profession. Everyone can show curiosity. Psychological safety, continuous improvement, prototyping and embedding change at scale need wider influence and remit."
AI,"Using and governing artificial intelligence responsibly - including machine learning, automation, classification, recommendation and generative AI. This domain is here as AI appears in everyday tools and in higher-stakes services. Most colleagues need foundational literacy and sound judgement about outputs. Governance and ethics matter more when you use, commission or influence AI systems."
