id,name,knowledge,skills,behaviours,learning,typical_roles,maturity_note
1,Novice,Has little or no practical knowledge yet. Can name the topic in broad terms and is beginning to see why it might matter.,Cannot apply the capability reliably without direct support. May try with close guidance and makes exploratory first attempts.,Shows curiosity and motivation to learn. Asks questions and is open to feedback without defensiveness.,"Needs guided introduction to what the capability is, why it matters and how it contributes to public value.","New starters; apprentices; colleagues new to digital, data, innovation or AI in their role; those returning after a long gap.",The beginning of the journey - curiosity and willingness to learn matter here. Colleagues move on quickly where the capability is part of everyday work.
2,Awareness,Understands what the capability is and why it matters. Can recognise it in use and describe its importance in simple terms.,"Uses basic elements with support. Identifies simple opportunities where it could improve clarity, efficiency or service quality.",Engages when encouraged. Tries new approaches with support and reflects on what worked.,Benefits from structured learning and practice with examples tied to real work.,Operational delivery roles building foundation; administrators and caseworkers establishing reliable everyday practice.,A solid foundation - understanding why the capability matters and using basic elements reliably in familiar situations.
3,Working,Understands core concepts and methods. Has reliable knowledge and can explain benefits in the context of their own work.,Applies the capability independently in routine tasks. Adapts straightforward approaches to local needs with minimal guidance.,Demonstrates the capability consistently in everyday work. Takes responsibility for own development and follows agreed standards.,Builds capability through ongoing practice and learning; may work toward accreditation where relevant.,"Policy officers, analysts, delivery staff and operations managers using the capability routinely; the benchmark for competent performance in most civil service roles.",Confident independent practice - the maturity target for most civil servants on strands they use every day. A meaningful mark of competence.
4,Practitioner,Has detailed understanding including nuances and implications for quality and outcomes. Shares knowledge proactively with colleagues.,Uses the capability independently across varied scenarios. Troubleshoots complex issues and improves local practice.,Coaches and supports others informally. Models good practice and helps colleagues apply standards consistently.,Pursues advanced learning where relevant and helps others build confidence and consistency.,"Where informal influence begins - experienced specialists others rely on, and team coordinators or workstream leads who improve practice around them.",Practitioner is where the two routes become visible - you do not need both on every strand.
5,Expert,Holds authoritative expertise with insight into strategic value and system-level implications. Recognised as a trusted source of guidance in your domain.,"Leads application across teams or services. Influences standards, governance or practice and drives improvement at scale.",Shapes culture and expectations. Champions responsible practice and develops capability in others systematically.,Undertakes specialist ongoing learning and uses expertise to elevate organisational capability and future practice.,"Heads of profession, lead specialists, programme and function directors, G6+ leaders with authority to set direction, and cross-government leads.",Expert is one level with two valid demonstration patterns - you do not need both on every strand.
