id,name,focus,definition
systems_thinking,Systems Thinking,Analytical and critical thinking,"Analyses how digital, data and AI systems and tools affect people, policies and institutions. Questions problems, interprets data critically, spots unintended impacts and chooses options that improve outcomes, not just add tech."
digital_wellbeing,Digital Wellbeing,Supportive culture and psychological safety,"Creates safe, inclusive spaces for colleagues and citizens to engage with digital change. Shows empathy, communicates clearly, addresss fears openly and models emotionally intelligent behaviours."
ethical_practice,Ethical Practice,"Trust, accountability and user focus","Makes responsible digital and AI decisions that protect rights and build public trust. Anticipates risks, designs around user needs and ensures fairness and safety while delivering value."
collaborative_working,Collaborative Working,Teamwork and inclusivity,"Brings together diverse perspectives to deliver joined-up digital services. Shares information, co-creates with users and coordinates work for benefits across the whole system."
continuous_learning,Continuous Learning,Reflection & curiosity,"Stays curious, experiments with new tools, reflects on outcomes, seeks feedback and refines practices to keep improving performance and service quality."
